Vivado Simulator 2019.2
Time resolution is 1 ps
a = 01111101, b = 01110010, op = 100111, out = 10000000                 627
a = 00000111, b = 11110110, op = 000010, out = 00000000                 633
a = 10010001, b = 10000000, op = 111111, out = 00000000                 639
a = 00000011, b = 11100110, op = 000010, out = 00000000                 645
a = 10011111, b = 01111100, op = 111111, out = 00000000                 651
a = 11111111, b = 11100010, op = 100111, out = 00000000                 657
a = 10011011, b = 01101100, op = 111111, out = 00000000                 663
a = 11101110, b = 00000111, op = 100000, out = 11110101                 669
a = 10110100, b = 01101000, op = 100000, out = 00011100                 675
a = 00111110, b = 00010001, op = 100110, out = 00101111                 681
a = 10110000, b = 01110110, op = 100000, out = 00100110                 687
a = 00111010, b = 00011101, op = 100110, out = 00100111                 693
a = 10110001, b = 10100101, op = 100110, out = 00010100                 699
a = 00110110, b = 00011001, op = 100100, out = 00010000                 705
a = 11000100, b = 10100001, op = 100000, out = 01100101                 711
a = 00100101, b = 00100111, op = 000011, out = 00000000                 717
a = 11001110, b = 10011111, op = 100101, out = 11011111                 723
a = 00110011, b = 00100011, op = 000011, out = 00000000                 729
a = 11001010, b = 10101101, op = 100101, out = 11101111                 735
a = 00101111, b = 00110110, op = 100110, out = 00011001                 741
a = 11001100, b = 10101001, op = 100010, out = 00100011                 747
a = 01000010, b = 00100101, op = 100000, out = 01100111                 753
a = 11100100, b = 10100101, op = 111111, out = 00000000                 759
a = 01101101, b = 01000001, op = 100101, out = 01101101                 765
a = 11100000, b = 10100001, op = 111111, out = 00000000                 771
a = 01101010, b = 00111101, op = 100010, out = 00101101                 777
a = 11011100, b = 11010110, op = 111111, out = 00000000                 783
a = 01100110, b = 01010110, op = 100010, out = 00010000                 789
a = 00000001, b = 11010010, op = 100100, out = 00000000                 795
a = 01100010, b = 01010010, op = 100010, out = 00010000                 801
a = 11110001, b = 11001110, op = 100000, out = 10111111                 807
a = 01110000, b = 01101010, op = 111111, out = 00000000                 813
a = 11111011, b = 11011000, op = 100111, out = 00000100                 819
a = 10000011, b = 01100110, op = 100110, out = 11100101                 825
a = 11110111, b = 11011001, op = 100101, out = 11111111                 831
a = 01110011, b = 01100010, op = 100100, out = 01100010                 837
a = 00000101, b = 11010101, op = 100101, out = 11010101                 843
a = 10001011, b = 01110000, op = 100000, out = 11111011                 849
