Vivado Simulator 2019.2
Time resolution is 1 ps
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 10011111                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 11011111                  36
Error en operacion 100110 en tiempo                   36 ns
a = 11100111, b = 10111000, op = 100110, out = 11111111                  36
Error en operacion 100110 en tiempo                   43 ns
a = 11100111, b = 10111000, op = 100110, out = 10011111                  43
Error en operacion 100110 en tiempo                   44 ns
a = 11100111, b = 10111000, op = 100110, out = 10011101                  44
Error en operacion 100110 en tiempo                   44 ns
a = 11100111, b = 10111000, op = 100110, out = 00011101                  44
Error en operacion 100110 en tiempo                   44 ns
a = 11100111, b = 10111000, op = 100110, out = 00000001                  44
a = 11100111, b = 11000100, op = 100010, out = 00000001                  44
Error en operacion 100010 en tiempo                   44 ns
a = 11100111, b = 11000100, op = 100010, out = 00000101                  44
Error en operacion 100010 en tiempo                   44 ns
a = 11100111, b = 11000100, op = 100010, out = 01011111                  44
Error en operacion 100010 en tiempo                   51 ns
a = 11100111, b = 11000100, op = 100010, out = 01011011                  51
a = 11100111, b = 11000100, op = 100010, out = 00100011                  51
Error en operacion 100010 en tiempo                   52 ns
a = 11100111, b = 11000100, op = 100010, out = 00100010                  52
a = 11100111, b = 11000100, op = 100010, out = 00100011                  52
Error en operacion 100010 en tiempo                   52 ns
a = 11100111, b = 11000100, op = 100010, out = 00011001                  52
a = 11010011, b = 10110110, op = 100110, out = 00011001                  52
Error en operacion 100110 en tiempo                   52 ns
a = 11010011, b = 10110110, op = 100110, out = 00011101                  52
Error en operacion 100110 en tiempo                   52 ns
a = 11010011, b = 10110110, op = 100110, out = 00101111                  52
Error en operacion 100110 en tiempo                   52 ns
a = 11010011, b = 10110110, op = 100110, out = 00111111                  52
Error en operacion 100110 en tiempo                   52 ns
a = 11010011, b = 10110110, op = 100110, out = 00011111                  52
Error en operacion 100110 en tiempo                   52 ns
a = 11010011, b = 10110110, op = 100110, out = 00011011                  52
Error en operacion 100110 en tiempo                   53 ns
a = 11010011, b = 10110110, op = 100110, out = 00001011                  53
Error en operacion 100110 en tiempo                   53 ns
a = 11010011, b = 10110110, op = 100110, out = 00101011                  53
Error en operacion 100110 en tiempo                   53 ns
a = 11010011, b = 10110110, op = 100110, out = 00100011                  53
Error en operacion 100110 en tiempo                   60 ns
a = 11010011, b = 10110110, op = 100110, out = 00100010                  60
Error en operacion 100110 en tiempo                   60 ns
a = 11010011, b = 10110110, op = 100110, out = 01100010                  60
Error en operacion 100110 en tiempo                   60 ns
a = 11010011, b = 10110110, op = 100110, out = 00000000                  60
Error en operacion 100110 en tiempo                   60 ns
a = 11010011, b = 10110110, op = 100110, out = 00000001                  60
a = 11100101, b = 11000010, op = 100000, out = 00000001                  60
Error en operacion 100000 en tiempo                   60 ns
a = 11100101, b = 11000010, op = 100000, out = 00000101                  60
Error en operacion 100000 en tiempo                   60 ns
a = 11100101, b = 11000010, op = 100000, out = 01100101                  60
Error en operacion 100000 en tiempo                   67 ns
a = 11100101, b = 11000010, op = 100000, out = 01100001                  67
Error en operacion 100000 en tiempo                   67 ns
a = 11100101, b = 11000010, op = 100000, out = 01100101                  67
Error en operacion 100000 en tiempo                   67 ns
a = 11100101, b = 11000010, op = 100000, out = 00100111                  67
Error en operacion 100000 en tiempo                   68 ns
a = 11100101, b = 11000010, op = 100000, out = 00100110                  68
Error en operacion 100000 en tiempo                   68 ns
a = 11100101, b = 11000010, op = 100000, out = 00100111                  68
Error en operacion 100000 en tiempo                   68 ns
a = 11100101, b = 11000010, op = 100000, out = 00100011                  68
Error en operacion 100000 en tiempo                   68 ns
